INFO  2016-04-23 21:08:54,217  5480ms IndexModule            <.ctor>b__1_0      - teslsdfjskldfj
INFO  2016-04-23 21:15:51,539  4896ms IndexModule            CallSite.Target    - Calling /fibo/5
INFO  2016-04-23 21:15:51,573  4929ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(5) = 120
INFO  2016-04-23 21:15:54,883  8239ms IndexModule            CallSite.Target    - Calling /fibo/6
INFO  2016-04-23 21:15:54,884  8240ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(6) = 720
INFO  2016-04-23 21:15:58,147 11503ms IndexModule            CallSite.Target    - Calling /fibo/10000
INFO  2016-04-23 21:15:58,147 11504ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(10000) = 0
INFO  2016-04-23 21:16:05,051 18408ms IndexModule            CallSite.Target    - Calling /fibo/1000
INFO  2016-04-23 21:16:05,052 18408ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(1000) = 0
INFO  2016-04-23 21:16:09,025 22381ms IndexModule            CallSite.Target    - Calling /fibo/999
INFO  2016-04-23 21:16:09,025 22382ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(999) = 0
INFO  2016-04-23 21:16:14,685 28041ms IndexModule            CallSite.Target    - Calling /fibo/88
INFO  2016-04-23 21:16:14,685 28042ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(88) = 0
INFO  2016-04-23 21:16:18,447 31804ms IndexModule            CallSite.Target    - Calling /fibo/444
INFO  2016-04-23 21:16:18,447 31804ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(444) = 0
INFO  2016-04-23 21:16:21,574 34931ms IndexModule            CallSite.Target    - Calling /fibo/2
INFO  2016-04-23 21:16:21,575 34932ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(2) = 2
INFO  2016-04-23 21:16:25,019 38376ms IndexModule            CallSite.Target    - Calling /fibo/6
INFO  2016-04-23 21:16:25,020 38376ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(6) = 720
INFO  2016-04-23 21:16:28,359 41715ms IndexModule            CallSite.Target    - Calling /fibo/9
INFO  2016-04-23 21:16:28,360 41716ms IndexModule            <.ctor>b__1_0      - Calcultaing Fibo(9) = 362880
INFO  2016-04-23 21:16:32,459 45816ms IndexModule            CallSite.Target    - Calling /fibo/100
